Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
207986 [0, 5, 2, 6, 0] 5 [0, 4]|Found route: [POIs: (809, 201816, restaurant, 0.2864986190149813), (3410, 207404, pub_bar, 1.5841982931787877), (2247, 207385, atm_bank, 0.019033913178230603), (4498, 208492, gas_station, 1.1308852045468791), (529, 208441, restaurant, 0.2746545625342436), Length: 3.295270592453122, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3868 ms|Time for KNN: 3850 ms|Heap fetches: 2207|Max heap size: 373
43076 [1, 5, 0, 1, 1] 5 [0, 4]|Found route: [POIs: (325, 55307, coffee_shop, 7.195955753726087), (3603, 55453, pub_bar, 0.019332394639034172), (1293, 55394, restaurant, 0.7456156257131303), (1293, 55394, coffee_shop, 0.0), (1293, 55394, coffee_shop, 0.0), Length: 7.960903774078251, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 32 ms|Time for KNN: 31 ms|Heap fetches: 14|Max heap size: 8
259617 [0, 1, 4, 1, 0] 5 [0, 4]|Found route: [POIs: (730, 259660, restaurant, 0.4397918408887468), (711, 259713, coffee_shop, 0.21499883644536122), (3371, 259575, pharmacy, 0.19331536380751907), (711, 259713, coffee_shop, 0.19331536380751907), (711, 259713, restaurant, 0.0), Length: 1.0414214049491461, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 18 ms|Time for KNN: 18 ms|Heap fetches: 25|Max heap size: 22
348126 [4, 0, 6, 3, 4] 5 [0, 4]|Found route: [POIs: (3274, 345923, pharmacy, 1.3093623969661952), (1173, 345916, restaurant, 0.18365845196825717), (4446, 345625, gas_station, 1.4259379737724651), (2702, 337770, movie_theater, 1.7491244164465822), (3145, 337755, pharmacy, 0.21877478462405225), Length: 4.8868580237775525, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4060 ms|Time for KNN: 4042 ms|Heap fetches: 1372|Max heap size: 890
67682 [5, 5, 3, 3, 5] 5 [0, 4]|Found route: [POIs: (3430, 68492, pub_bar, 1.0187960917025343), (3430, 68492, pub_bar, 0.0), (2682, 95231, movie_theater, 3.1784688216325985), (2682, 95231, movie_theater, 0.0), (4044, 95077, pub_bar, 0.12460210546232389), Length: 4.321867018797456, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 583 ms|Time for KNN: 582 ms|Heap fetches: 222|Max heap size: 131
94663 [1, 0, 5, 3, 1] 5 [0, 4]|Found route: [POIs: (11, 95231, coffee_shop, 1.0862296500741515), (11, 95231, restaurant, 0.0), (4044, 95077, pub_bar, 0.12460210546232389), (2682, 95231, movie_theater, 0.1246021054623239), (655, 97716, coffee_shop, 0.3341462248813731), Length: 1.6695800858801724, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 63 ms|Time for KNN: 62 ms|Heap fetches: 45|Max heap size: 15
319327 [6, 0, 6, 3, 6] 5 [0, 4]|Found route: [POIs: (4377, 178603, gas_station, 1.0268631519657867), (52, 178224, restaurant, 0.2232019680553611), (4456, 178196, gas_station, 0.004397815573826382), (2776, 176524, movie_theater, 0.9127696289816136), (4456, 178196, gas_station, 0.912769628981614), Length: 3.080002193558202, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1746 ms|Time for KNN: 1743 ms|Heap fetches: 560|Max heap size: 89
427774 [5, 4, 4, 0, 5] 5 [0, 4]|Found route: [POIs: (3732, 242308, pub_bar, 11.638300207050262), (3069, 241690, pharmacy, 0.6431889075015697), (3069, 241690, pharmacy, 0.0), (351, 242089, restaurant, 0.1664393311685133), (3812, 242260, pub_bar, 0.24930624725771483), Length: 12.69723469297806, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 103 ms|Time for KNN: 102 ms|Heap fetches: 66|Max heap size: 16
395758 [5, 6, 0, 0, 5] 5 [0, 4]|Found route: [POIs: (4174, 392984, pub_bar, 1.4333407871561992), (4445, 237271, gas_station, 1.6256407916227813), (1889, 237322, restaurant, 0.4259052356663128), (1889, 237322, restaurant, 0.0), (4189, 237322, pub_bar, 0.0), Length: 3.4848868144452934, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 387 ms|Time for KNN: 386 ms|Heap fetches: 83|Max heap size: 56
45620 [3, 5, 5, 1, 3] 5 [0, 4]|Found route: [POIs: (2782, 56332, movie_theater, 6.544297213945665), (3454, 57456, pub_bar, 0.06354205223533095), (3454, 57456, pub_bar, 0.0), (94, 57456, coffee_shop, 0.0), (2797, 57488, movie_theater, 0.15254742343600597), Length: 6.760386689617001, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 23 ms|Time for KNN: 23 ms|Heap fetches: 10|Max heap size: 5
